PontoWeb				DESKTOP	
Pessoas	Basic	PRO	Ultimate	Pessoas	Valor
3960	15444,00	19839,60	27442,80		
3970	15483,00	19889,70	27512,10		
3980	15522,00	19939,80	27581,40		
3990	15561,00	19989,90	27650,70		
4000	15600,00	20040,00	27720,00		
4010	15639,00	20090,10	27789,30		
4020	15678,00	20140,20	27858,60		
4030	15717,00	20190,30	27927,90		
4040	15756,00	20240,40	27997,20		
4050	15795,00	20290,50	28066,50		
4060	15834,00	20340,60	28135,80		
4070	15873,00	20390,70	28205,10		
4080	15912,00	20440,80	28274,40		
4090	15951,00	20490,90	28343,70		
4100	15990,00	20541,00	28413,00		
4110	16029,00	20591,10	28482,30		
4120	16068,00	20641,20	28551,60		
4130	16107,00	20691,30	28620,90		
4140	16146,00	20741,40	28690,20		
4150	16185,00	20791,50	28759,50		
4160	16224,00	20841,60	28828,80		
4170	16263,00	20891,70	28898,10		
4180	16302,00	20941,80	28967,40		
4190	16341,00	20991,90	29036,70		
4200	16380,00	21042,00	29106,00		
4210	16419,00	21092,10	29175,30		
4220	16458,00	21142,20	29244,60		
4230	16497,00	21192,30	29313,90		
4240	16536,00	21242,40	29383,20		
4250	16575,00	21292,50	29452,50		
4260	16614,00	21342,60	29521,80		
4270	16653,00	21392,70	29591,10		
4280	16692,00	21442,80	29660,40		
4290	16731,00	21492,90	29729,70		
4300	16770,00	21543,00	29799,00		
4310	16809,00	21593,10	29868,30		
4320	16848,00	21643,20	29937,60		
4330	16887,00	21693,30	30006,90		
4340	16926,00	21743,40	30076,20		
4350	16965,00	21793,50	30145,50		
4360	17004,00	21843,60	30214,80		
4370	17043,00	21893,70	30284,10		
4380	17082,00	21943,80	30353,40		
4390	17121,00	21993,90	30422,70		
4400	17160,00	22044,00	30492,00		
4410	17199,00	22094,10	30561,30		
4420	17238,00	22144,20	30630,60		
4430	17277,00	22194,30	30699,90		
4440	17316,00	22244,40	30769,20		
4450	17355,00	22294,50	30838,50		
4460	17394,00	22344,60	30907,80		
4470	17433,00	22394,70	30977,10		
4480	17472,00	22444,80	31046,40		
4490	17511,00	22494,90	31115,70		
4500	17550,00	22545,00	31185,00		
4510	17589,00	22595,10	31254,30		
4520	17628,00	22645,20	31323,60		
4530	17667,00	22695,30	31392,90		
4540	17706,00	22745,40	31462,20		
4550	17745,00	22795,50	31531,50		
4560	17784,00	22845,60	31600,80		
4570	17823,00	22895,70	31670,10		
4580	17862,00	22945,80	31739,40		
4590	17901,00	22995,90	31808,70		
4600	17940,00	23046,00	31878,00		
4610	17979,00	23096,10	31947,30		
4620	18018,00	23146,20	32016,60		
4630	18057,00	23196,30	32085,90		
4640	18096,00	23246,40	32155,20		
4650	18135,00	23296,50	32224,50		
4660	18174,00	23346,60	32293,80		
4670	18213,00	23396,70	32363,10		
4680	18252,00	23446,80	32432,40		
4690	18291,00	23496,90	32501,70		
4700	18330,00	23547,00	32571,00		
4710	18369,00	23597,10	32640,30		
4720	18408,00	23647,20	32709,60		
4730	18447,00	23697,30	32778,90		
4740	18486,00	23747,40	32848,20		
4750	18525,00	23797,50	32917,50		
4760	18564,00	23847,60	32986,80		
